"source","term_name","term_id","highlighted","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:BP","cellular process","GO:0009987","true","0.010041149253058044","1.9982165774601794","5126","67","65","6510","YDR150W,YDR341C,YDR343C,YDR345C,YDR346C,YDR347W,YDR348C,YDR349C,YDR350C,YDR351W,YDR352W,YDR353W,YDR354W,YDR356W,YDR357C,YDR358W,YDR359C,YDR361C,YDR362C,YDR363W,YDR363W-A,YDR364C,YDR365C,YDR367W,YDR368W,YDR369C,YDR370C,YDR371W,YDR372C,YDR373W,YDR374C,YDR374W-A,YDR375C,YDR376W,YDR377W,YDR378C,YDR379C-A,YDR379W,YDR380W,YDR381W,YDR382W,YDR383C,YDR384C,YDR385W,YDR386W,YDR387C,YDR388W,YDR389W,YDR390C,YDR392W,YDR393W,YDR394W,YDR395W,YDR398W,YDR399W,YDR400W,YDR402C,YDR403W,YER151C,YER152C,YER153C,YER154W,YER155C,YER156C,YER157W"
"GO:CC","intracellular anatomical structure","GO:0005622","true","0.0006555362959990305","3.183403257115475","5221","67","66","6555","YDR150W,YDR341C,YDR343C,YDR346C,YDR347W,YDR348C,YDR349C,YDR350C,YDR351W,YDR352W,YDR353W,YDR354W,YDR356W,YDR357C,YDR358W,YDR359C,YDR361C,YDR362C,YDR363W,YDR363W-A,YDR364C,YDR365C,YDR367W,YDR368W,YDR369C,YDR370C,YDR371W,YDR372C,YDR373W,YDR374C,YDR374W-A,YDR375C,YDR376W,YDR377W,YDR378C,YDR379C-A,YDR379W,YDR380W,YDR381W,YDR382W,YDR383C,YDR384C,YDR385W,YDR386W,YDR387C,YDR388W,YDR389W,YDR390C,YDR391C,YDR392W,YDR393W,YDR394W,YDR395W,YDR398W,YDR399W,YDR400W,YDR402C,YDR403W,YER134C,YER151C,YER152C,YER153C,YER154W,YER155C,YER156C,YER157W"
"GO:CC","intracellular membrane-bounded organelle","GO:0043231","false","0.010204869963571716","1.9911925249472309","4391","67","59","6555","YDR150W,YDR341C,YDR343C,YDR346C,YDR347W,YDR349C,YDR350C,YDR351W,YDR352W,YDR353W,YDR354W,YDR356W,YDR357C,YDR358W,YDR359C,YDR361C,YDR362C,YDR363W,YDR363W-A,YDR364C,YDR365C,YDR367W,YDR368W,YDR369C,YDR370C,YDR372C,YDR373W,YDR374W-A,YDR375C,YDR376W,YDR377W,YDR378C,YDR379C-A,YDR380W,YDR381W,YDR382W,YDR383C,YDR384C,YDR386W,YDR387C,YDR388W,YDR390C,YDR391C,YDR392W,YDR393W,YDR394W,YDR395W,YDR398W,YDR399W,YDR400W,YDR402C,YER134C,YER151C,YER152C,YER153C,YER154W,YER155C,YER156C,YER157W"
"GO:CC","membrane-bounded organelle","GO:0043227","false","0.010516970858025656","1.9781093294864422","4394","67","59","6555","YDR150W,YDR341C,YDR343C,YDR346C,YDR347W,YDR349C,YDR350C,YDR351W,YDR352W,YDR353W,YDR354W,YDR356W,YDR357C,YDR358W,YDR359C,YDR361C,YDR362C,YDR363W,YDR363W-A,YDR364C,YDR365C,YDR367W,YDR368W,YDR369C,YDR370C,YDR372C,YDR373W,YDR374W-A,YDR375C,YDR376W,YDR377W,YDR378C,YDR379C-A,YDR380W,YDR381W,YDR382W,YDR383C,YDR384C,YDR386W,YDR387C,YDR388W,YDR390C,YDR391C,YDR392W,YDR393W,YDR394W,YDR395W,YDR398W,YDR399W,YDR400W,YDR402C,YER134C,YER151C,YER152C,YER153C,YER154W,YER155C,YER156C,YER157W"
"GO:CC","intracellular organelle","GO:0043229","false","0.012579258328098048","1.9003449640982082","4678","67","61","6555","YDR150W,YDR341C,YDR343C,YDR346C,YDR347W,YDR349C,YDR350C,YDR351W,YDR352W,YDR353W,YDR354W,YDR356W,YDR357C,YDR358W,YDR359C,YDR361C,YDR362C,YDR363W,YDR363W-A,YDR364C,YDR365C,YDR367W,YDR368W,YDR369C,YDR370C,YDR372C,YDR373W,YDR374W-A,YDR375C,YDR376W,YDR377W,YDR378C,YDR379C-A,YDR379W,YDR380W,YDR381W,YDR382W,YDR383C,YDR384C,YDR386W,YDR387C,YDR388W,YDR389W,YDR390C,YDR391C,YDR392W,YDR393W,YDR394W,YDR395W,YDR398W,YDR399W,YDR400W,YDR402C,YER134C,YER151C,YER152C,YER153C,YER154W,YER155C,YER156C,YER157W"
"GO:CC","organelle","GO:0043226","false","0.012707313861707455","1.8959462431775223","4679","67","61","6555","YDR150W,YDR341C,YDR343C,YDR346C,YDR347W,YDR349C,YDR350C,YDR351W,YDR352W,YDR353W,YDR354W,YDR356W,YDR357C,YDR358W,YDR359C,YDR361C,YDR362C,YDR363W,YDR363W-A,YDR364C,YDR365C,YDR367W,YDR368W,YDR369C,YDR370C,YDR372C,YDR373W,YDR374W-A,YDR375C,YDR376W,YDR377W,YDR378C,YDR379C-A,YDR379W,YDR380W,YDR381W,YDR382W,YDR383C,YDR384C,YDR386W,YDR387C,YDR388W,YDR389W,YDR390C,YDR391C,YDR392W,YDR393W,YDR394W,YDR395W,YDR398W,YDR399W,YDR400W,YDR402C,YER134C,YER151C,YER152C,YER153C,YER154W,YER155C,YER156C,YER157W"
"GO:CC","cellular anatomical structure","GO:0110165","false","0.030211058293539175","1.5198340611221477","5770","67","67","6555","YDR150W,YDR341C,YDR343C,YDR345C,YDR346C,YDR347W,YDR348C,YDR349C,YDR350C,YDR351W,YDR352W,YDR353W,YDR354W,YDR356W,YDR357C,YDR358W,YDR359C,YDR361C,YDR362C,YDR363W,YDR363W-A,YDR364C,YDR365C,YDR367W,YDR368W,YDR369C,YDR370C,YDR371W,YDR372C,YDR373W,YDR374C,YDR374W-A,YDR375C,YDR376W,YDR377W,YDR378C,YDR379C-A,YDR379W,YDR380W,YDR381W,YDR382W,YDR383C,YDR384C,YDR385W,YDR386W,YDR387C,YDR388W,YDR389W,YDR390C,YDR391C,YDR392W,YDR393W,YDR394W,YDR395W,YDR398W,YDR399W,YDR400W,YDR402C,YDR403W,YER134C,YER151C,YER152C,YER153C,YER154W,YER155C,YER156C,YER157W"
"GO:CC","medial cortex","GO:0031097","true","0.0992571327759121","1.0032382743491004","4","67","2","6555","YDR348C,YDR388W"
"KEGG","Homologous recombination","KEGG:03440","false","0.05770220222446796","1.2388076115291355","21","29","3","2161","YDR363W-A,YDR369C,YDR386W"
